name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-uni;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.03; 0.026842; 0.010159; 7.6e-05; 4.9e-05; 1.6e-05; false; 0.0394
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.04; 0.033356; 0.012051; 0.000128; 9.1e-05; 3.2e-05; false; 0.048348
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.5; 0.415243; 0.125115; 0.000636; 0.000935; 0.000118; false; 0.557327
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.08; 0.076343; 0.017091; 8.8e-05; 6.2e-05; 2.8e-05; false; 0.09556
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.08; 0.066191; 0.027944; 0.000257; 0.000156; 5.8e-05; false; 0.098526
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;0.08; 0.061647; 0.023033; 0.000157; 0.000119; 3.3e-05; false; 0.088298;0.15; 0.126361; 0.035475; 0.000274; 0.000242; 7e-05; false; 0.167456
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.16; 0.130046; 0.040743; 0.000346; 0.000258; 9.4e-05; false; 0.176784
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.2; 0.179091; 0.036123; 0.000439; 0.00036; 9.9e-05; false; 0.222397
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.22; 0.18667; 0.055399; 0.000503; 0.000651; 0.000168; false; 0.252534
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.26; 0.225252; 0.053729; 0.00055; 0.000409; 0.000127; false; 0.288169
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.24; 0.223344; 0.049662; 0.000573; 0.000457; 0.000124; false; 0.283007
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.33; 0.262208; 0.079691; 0.000347; 0.000558; 6.9e-05; false; 0.355692
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.37; 0.30637; 0.07526; 0.000733; 0.000807; 0.000146; false; 0.395285
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.32; 0.25326; 0.091127; 0.000856; 0.000839; 0.000137; false; 0.360184
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.4; 0.351438; 0.088599; 0.000815; 0.00084; 0.000138; false; 0.455768
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.35; 0.305457; 0.069202; 0.000575; 0.000579; 0.000144; false; 0.385777
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.45; 0.391488; 0.093681; 0.000484; 0.000576; 0.000116; false; 0.496566
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.38; 0.319794; 0.088448; 0.001054; 0.000887; 0.000153; false; 0.426385
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.46; 0.370629; 0.101058; 0.000524; 0.000593; 9.4e-05; false; 0.491305
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;0.51; 0.37859; 0.133866; 0.001288; 0.001098; 3e-06; true; 0.538155;0.53; 0.458828; 0.098613; 0.000621; 0.001074; 0.00014; false; 0.575952
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.05; 0.047664; 0.015751; 0.000134; 8e-05; 3.1e-05; false; 0.066039
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.57; 0.462613; 0.128704; 0.001399; 0.00196; 0.000418; false; 0.619664
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.09; 0.077353; 0.022762; 0.000208; 0.000163; 4.7e-05; false; 0.104276
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.1; 0.085099; 0.028788; 0.000259; 0.000188; 6.6e-05; false; 0.118607
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.16; 0.130109; 0.037106; 0.000306; 0.000495; 7.7e-05; false; 0.1733
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.18; 0.15017; 0.042383; 0.000396; 0.000366; 9.1e-05; false; 0.200051
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.22; 0.183697; 0.05256; 0.000594; 0.000502; 0.000118; false; 0.245147
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.24; 0.206046; 0.055149; 0.000504; 0.000321; 0.000114; false; 0.269569
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.27; 0.232669; 0.060305; 0.000308; 0.00026; 8.6e-05; false; 0.298873
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.03; 0.02573; 0.010486; 6.7e-05; 4.1e-05; 1.7e-05; false; 0.038436
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.3; 0.254237; 0.06151; 0.000319; 0.000259; 9.6e-05; false; 0.324258
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.3; 0.259795; 0.067826; 0.000707; 0.000615; 0.000108; false; 0.339331
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.36; 0.303624; 0.087381; 0.000837; 0.000555; 9e-05; false; 0.405684
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.36; 0.29846; 0.083306; 0.000855; 0.000826; 0.000134; false; 0.396026
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-rhs.mata;0.3; 0.217623; 0.095139; 0.00041; 0.000145; 2e-06; true; 0.324467;0.42; 0.363559; 0.089135; 0.000887; 0.000717; 0.000123; false; 0.466805
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.45; 0.384056; 0.090122; 0.001059; 0.001095; 0.000145; false; 0.493414
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.49; 0.401785; 0.105685; 0.001283; 0.001179; 0.000246; false; 0.529211
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.53; 0.426262; 0.12011; 0.001656; 0.001525; 0.000346; false; 0.570991
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.39; 0.310535; 0.089462; 0.001288; 0.001484; 0.00019; false; 0.421377
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.57; 0.488277; 0.114171; 0.001192; 0.001171; 0.000167; false; 0.62412
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.05; 0.048258; 0.015427; 0.000127; 8.3e-05; 4e-05; false; 0.066247
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.56; 0.463182; 0.116308; 0.00137; 0.00195; 0.000403; false; 0.609343
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.08; 0.076561; 0.020737; 9.8e-05; 0.000102; 3.2e-05; false; 0.100006
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.12; 0.102892; 0.031355; 0.000202; 0.000155; 6e-05; false; 0.138603
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-rhs.mata;0.08; 0.064947; 0.026656; 0.000146; 9.3e-05; 3.5e-05; false; 0.095207;0.12; 0.110879; 0.03487; 0.000276; 0.00024; 6.9e-05; false; 0.151171
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.18; 0.147482; 0.040347; 0.000371; 0.000256; 8.8e-05; false; 0.194476
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.2; 0.162535; 0.04543; 0.000452; 0.000384; 0.000114; false; 0.215923
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.24; 0.207159; 0.053471; 0.000441; 0.000402; 0.000108; false; 0.269202
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.21; 0.170004; 0.055987; 0.000533; 0.000362; 0.000142; false; 0.234984
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.02; 0.014761; 0.008077; 3.7e-05; 2.7e-05; 1.1e-05; false; 0.024346
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.26; 0.220561; 0.064534; 0.000619; 0.000429; 0.000147; false; 0.295458
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.33; 0.277689; 0.072657; 0.000677; 0.000896; 0.000129; false; 0.365034
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.35; 0.306763; 0.072137; 0.000753; 0.000659; 0.000146; false; 0.391467
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.4; 0.334582; 0.091342; 0.000839; 0.000799; 0.000132; false; 0.440511
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.33; 0.279665; 0.083671; 0.00089; 0.000815; 0.000127; false; 0.378713
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.36; 0.304492; 0.0868; 0.000962; 0.000955; 0.000142; false; 0.40805
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.46; 0.382056; 0.096513; 0.000828; 0.000998; 8.7e-05; false; 0.500089
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.51; 0.442683; 0.105424; 0.000596; 0.001348; 0.000262; false; 0.563896
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.46; 0.372658; 0.098263; 0.001253; 0.001173; 0.000186; false; 0.492421
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-950-rhs.mata;0.51; 0.401626; 0.12091; 0.001114; 0.000834; 3e-06; true; 0.543623;0.57; 0.485977; 0.107416; 0.001076; 0.0014; 0.000126; false; 0.617358
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-100-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.06; 0.052091; 0.017704; 0.000128; 8.6e-05; 3.4e-05; false; 0.072436
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-1000-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.57; 0.462319; 0.118678; 0.001462; 0.001895; 0.000318; false; 0.61049
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-150-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.07; 0.060279; 0.022461; 0.00019; 0.000114; 4.3e-05; false; 0.086149
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-200-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.11; 0.08936; 0.029841; 0.000249; 0.000217; 6e-05; false; 0.12426
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-250-rhs.mata;0.06; 0.049579; 0.022404; 0.000145; 0.000135; 2e-06; true; 0.075838;0.14; 0.124228; 0.036711; 0.000286; 0.000226; 7.1e-05; false; 0.166559
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-300-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.18; 0.149758; 0.040277; 0.00037; 0.000264; 8.5e-05; false; 0.196158
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-350-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.19; 0.17213; 0.042379; 0.00042; 0.000313; 9.9e-05; false; 0.222107
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-400-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.19; 0.161026; 0.044818; 0.00025; 0.000214; 0.000102; false; 0.213259
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-450-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.26; 0.229979; 0.048284; 0.000624; 0.000415; 0.000131; false; 0.2869
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-50-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.02; 0.023214; 0.010181; 8.3e-05; 4.3e-05; 2.1e-05; false; 0.035498
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-500-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.3; 0.255493; 0.06138; 0.000683; 0.000614; 0.00016; false; 0.327931
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-550-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.34; 0.286352; 0.07028; 0.000681; 0.000551; 9.4e-05; false; 0.368689
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-600-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.34; 0.278171; 0.089805; 0.000949; 0.000964; 0.000168; false; 0.384497
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-650-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.33; 0.268922; 0.085138; 0.00079; 0.000719; 0.000104; false; 0.367929
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-700-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.34; 0.305164; 0.061479; 0.000428; 0.000511; 0.000103; false; 0.376625
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-750-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.41; 0.334345; 0.093207; 0.001151; 0.000866; 0.000129; false; 0.445217
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-800-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.41; 0.357903; 0.091565; 0.000479; 0.000707; 0.000152; false; 0.462736
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-850-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.48; 0.408133; 0.08772; 0.001297; 0.000982; 0.000169; false; 0.517375
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-900-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.44; 0.374343; 0.091846; 0.000591; 0.000991; 0.000152; false; 0.48099
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-950-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.39; 0.336392; 0.078615; 0.00074; 0.000717; 0.000103; false; 0.429362
